S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
212,12-04-2020,Andaman and Nicobar Islands,11,1,10,0
213,13-04-2020,Andaman and Nicobar Islands,11,1,10,0
214,14-04-2020,Andaman and Nicobar Islands,11,1,10,0
215,15-04-2020,Andaman and Nicobar Islands,11,1,10,0
216,16-04-2020,Andaman and Nicobar Islands,11,1,10,0
217,17-04-2020,Andaman and Nicobar Islands,11,1,10,0
218,18-04-2020,Andaman and Nicobar Islands,12,1,11,0
219,19-04-2020,Andaman and Nicobar Islands,14,3,11,0
220,20-04-2020,Andaman and Nicobar Islands,15,4,11,0
221,21-04-2020,Andaman and Nicobar Islands,16,5,11,0
222,22-04-2020,Andaman and Nicobar Islands,16,5,11,0
223,23-04-2020,Andaman and Nicobar Islands,18,7,11,0
224,24-04-2020,Andaman and Nicobar Islands,22,11,11,0
225,25-04-2020,Andaman and Nicobar Islands,27,16,11,0
226,26-04-2020,Andaman and Nicobar Islands,33,22,11,0
227,27-04-2020,Andaman and Nicobar Islands,33,22,11,0
228,28-04-2020,Andaman and Nicobar Islands,33,22,11,0
229,29-04-2020,Andaman and Nicobar Islands,33,18,15,0
230,30-04-2020,Andaman and Nicobar Islands,33,18,15,0
231,01-05-2020,Andaman and Nicobar Islands,33,17,16,0
232,02-05-2020,Andaman and Nicobar Islands,33,17,16,0
233,03-05-2020,Andaman and Nicobar Islands,33,17,16,0
234,04-05-2020,Andaman and Nicobar Islands,33,1,32,0
235,05-05-2020,Andaman and Nicobar Islands,33,1,32,0
236,06-05-2020,Andaman and Nicobar Islands,33,1,32,0
237,07-05-2020,Andaman and Nicobar Islands,33,1,32,0
238,08-05-2020,Andaman and Nicobar Islands,33,0,33,0
239,09-05-2020,Andaman and Nicobar Islands,33,0,33,0
240,10-05-2020,Andaman and Nicobar Islands,33,0,33,0
241,11-05-2020,Andaman and Nicobar Islands,33,0,33,0
242,12-05-2020,Andaman and Nicobar Islands,33,0,33,0
243,13-05-2020,Andaman and Nicobar Islands,33,0,33,0
244,14-05-2020,Andaman and Nicobar Islands,33,0,33,0
245,15-05-2020,Andaman and Nicobar Islands,33,0,33,0
246,16-05-2020,Andaman and Nicobar Islands,33,0,33,0
247,17-05-2020,Andaman and Nicobar Islands,33,0,33,0
248,18-05-2020,Andaman and Nicobar Islands,33,0,33,0
249,19-05-2020,Andaman and Nicobar Islands,33,0,33,0
250,20-05-2020,Andaman and Nicobar Islands,33,0,33,0
251,21-05-2020,Andaman and Nicobar Islands,33,0,33,0
252,22-05-2020,Andaman and Nicobar Islands,33,0,33,0
253,23-05-2020,Andaman and Nicobar Islands,33,0,33,0
254,24-05-2020,Andaman and Nicobar Islands,33,0,33,0
255,25-05-2020,Andaman and Nicobar Islands,33,0,33,0
256,26-05-2020,Andaman and Nicobar Islands,33,0,33,0
257,27-05-2020,Andaman and Nicobar Islands,33,0,33,0
258,28-05-2020,Andaman and Nicobar Islands,33,0,33,0
259,29-05-2020,Andaman and Nicobar Islands,33,0,33,0
260,30-05-2020,Andaman and Nicobar Islands,33,0,33,0
261,31-05-2020,Andaman and Nicobar Islands,33,0,33,0
262,01-06-2020,Andaman and Nicobar Islands,33,0,33,0
263,02-06-2020,Andaman and Nicobar Islands,33,0,33,0
264,03-06-2020,Andaman and Nicobar Islands,33,0,33,0
265,04-06-2020,Andaman and Nicobar Islands,33,0,33,0
266,05-06-2020,Andaman and Nicobar Islands,33,0,33,0
267,06-06-2020,Andaman and Nicobar Islands,33,0,33,0
268,07-06-2020,Andaman and Nicobar Islands,33,0,33,0
269,08-06-2020,Andaman and Nicobar Islands,33,0,33,0
270,09-06-2020,Andaman and Nicobar Islands,33,0,33,0
271,10-06-2020,Andaman and Nicobar Islands,33,0,33,0
272,11-06-2020,Andaman and Nicobar Islands,34,1,33,0
273,12-06-2020,Andaman and Nicobar Islands,38,5,33,0
274,13-06-2020,Andaman and Nicobar Islands,38,5,33,0
275,14-06-2020,Andaman and Nicobar Islands,38,5,33,0
276,15-06-2020,Andaman and Nicobar Islands,38,5,33,0
277,16-06-2020,Andaman and Nicobar Islands,41,8,33,0
278,17-06-2020,Andaman and Nicobar Islands,44,11,33,0
279,18-06-2020,Andaman and Nicobar Islands,44,11,33,0
280,19-06-2020,Andaman and Nicobar Islands,44,11,33,0
281,20-06-2020,Andaman and Nicobar Islands,45,10,35,0
282,21-06-2020,Andaman and Nicobar Islands,47,11,36,0
283,22-06-2020,Andaman and Nicobar Islands,48,11,37,0
284,23-06-2020,Andaman and Nicobar Islands,48,11,37,0
285,24-06-2020,Andaman and Nicobar Islands,50,10,40,0
286,25-06-2020,Andaman and Nicobar Islands,56,13,43,0
287,26-06-2020,Andaman and Nicobar Islands,59,16,43,0
288,27-06-2020,Andaman and Nicobar Islands,72,29,43,0
289,28-06-2020,Andaman and Nicobar Islands,72,29,43,0
290,29-06-2020,Andaman and Nicobar Islands,76,31,45,0
291,30-06-2020,Andaman and Nicobar Islands,90,44,46,0
292,01-07-2020,Andaman and Nicobar Islands,97,47,50,0
293,02-07-2020,Andaman and Nicobar Islands,100,50,50,0
294,03-07-2020,Andaman and Nicobar Islands,109,58,51,0
295,04-07-2020,Andaman and Nicobar Islands,116,62,54,0
296,05-07-2020,Andaman and Nicobar Islands,119,53,66,0
297,06-07-2020,Andaman and Nicobar Islands,125,53,72,0
298,07-07-2020,Andaman and Nicobar Islands,141,67,74,0
299,08-07-2020,Andaman and Nicobar Islands,147,72,75,0
300,09-07-2020,Andaman and Nicobar Islands,149,72,77,0
301,10-07-2020,Andaman and Nicobar Islands,151,68,83,0
302,11-07-2020,Andaman and Nicobar Islands,156,64,92,0
303,12-07-2020,Andaman and Nicobar Islands,163,70,93,0
304,13-07-2020,Andaman and Nicobar Islands,163,70,93,0
305,14-07-2020,Andaman and Nicobar Islands,166,57,109,0
306,15-07-2020,Andaman and Nicobar Islands,166,57,109,0
307,16-07-2020,Andaman and Nicobar Islands,176,46,130,0
308,17-07-2020,Andaman and Nicobar Islands,180,47,133,0
309,18-07-2020,Andaman and Nicobar Islands,194,52,142,0
310,19-07-2020,Andaman and Nicobar Islands,198,53,145,0
311,20-07-2020,Andaman and Nicobar Islands,203,58,145,0
312,21-07-2020,Andaman and Nicobar Islands,207,55,152,0
313,22-07-2020,Andaman and Nicobar Islands,212,53,159,0
314,23-07-2020,Andaman and Nicobar Islands,221,58,163,0
315,24-07-2020,Andaman and Nicobar Islands,240,70,170,0
316,25-07-2020,Andaman and Nicobar Islands,259,85,174,0
317,26-07-2020,Andaman and Nicobar Islands,290,114,176,0
318,27-07-2020,Andaman and Nicobar Islands,324,142,182,0
319,28-07-2020,Andaman and Nicobar Islands,338,145,192,1
320,29-07-2020,Andaman and Nicobar Islands,363,166,196,1
321,30-07-2020,Andaman and Nicobar Islands,428,225,201,2
322,31-07-2020,Andaman and Nicobar Islands,471,266,201,4
323,01-08-2020,Andaman and Nicobar Islands,548,329,214,5
324,02-08-2020,Andaman and Nicobar Islands,636,403,226,7
325,03-08-2020,Andaman and Nicobar Islands,734,484,242,8
326,04-08-2020,Andaman and Nicobar Islands,830,557,263,10
327,05-08-2020,Andaman and Nicobar Islands,928,639,277,12
328,06-08-2020,Andaman and Nicobar Islands,1027,687,326,14
329,07-08-2020,Andaman and Nicobar Islands,1123,752,355,16
330,08-08-2020,Andaman and Nicobar Islands,1222,778,425,19
331,09-08-2020,Andaman and Nicobar Islands,1351,831,500,20
332,10-08-2020,Andaman and Nicobar Islands,1490,822,648,20
333,11-08-2020,Andaman and Nicobar Islands,1625,896,709,20
334,12-08-2020,Andaman and Nicobar Islands,1764,994,749,21
335,13-08-2020,Andaman and Nicobar Islands,1900,1050,829,21
336,14-08-2020,Andaman and Nicobar Islands,2037,1091,924,22
337,15-08-2020,Andaman and Nicobar Islands,2186,1130,1032,24
338,16-08-2020,Andaman and Nicobar Islands,2306,1154,1128,24
339,17-08-2020,Andaman and Nicobar Islands,2399,1145,1226,28
340,18-08-2020,Andaman and Nicobar Islands,2445,1091,1325,29
341,19-08-2020,Andaman and Nicobar Islands,2529,1078,1421,30
342,20-08-2020,Andaman and Nicobar Islands,2604,1045,1529,30
343,21-08-2020,Andaman and Nicobar Islands,2680,1011,1638,31
344,22-08-2020,Andaman and Nicobar Islands,2747,971,1744,32
345,23-08-2020,Andaman and Nicobar Islands,2808,923,1853,32
346,24-08-2020,Andaman and Nicobar Islands,2860,864,1963,33
347,25-08-2020,Andaman and Nicobar Islands,2904,777,2092,35
348,26-08-2020,Andaman and Nicobar Islands,2945,677,2231,37
349,27-08-2020,Andaman and Nicobar Islands,2985,635,2309,41
350,28-08-2020,Andaman and Nicobar Islands,3018,602,2374,42
351,29-08-2020,Andaman and Nicobar Islands,3050,564,2444,42
352,30-08-2020,Andaman and Nicobar Islands,3081,518,2519,44
353,31-08-2020,Andaman and Nicobar Islands,3104,473,2586,45
354,01-09-2020,Andaman and Nicobar Islands,3132,439,2647,46
355,02-09-2020,Andaman and Nicobar Islands,3160,400,2714,46
356,03-09-2020,Andaman and Nicobar Islands,3186,381,2758,47
357,04-09-2020,Andaman and Nicobar Islands,3223,352,2823,48
358,05-09-2020,Andaman and Nicobar Islands,3257,345,2863,49
359,06-09-2020,Andaman and Nicobar Islands,3292,338,2904,50
360,07-09-2020,Andaman and Nicobar Islands,3332,331,2951,50
361,08-09-2020,Andaman and Nicobar Islands,3359,312,2997,50
362,09-09-2020,Andaman and Nicobar Islands,3392,307,3035,50
363,10-09-2020,Andaman and Nicobar Islands,3426,297,3078,51
364,11-09-2020,Andaman and Nicobar Islands,3465,293,3121,51
365,12-09-2020,Andaman and Nicobar Islands,3494,286,3157,51
366,13-09-2020,Andaman and Nicobar Islands,3521,268,3202,51
367,14-09-2020,Andaman and Nicobar Islands,3546,252,3243,51
368,15-09-2020,Andaman and Nicobar Islands,3557,227,3278,52
369,16-09-2020,Andaman and Nicobar Islands,3574,204,3318,52
370,17-09-2020,Andaman and Nicobar Islands,3593,196,3345,52
371,18-09-2020,Andaman and Nicobar Islands,3604,174,3378,52
372,19-09-2020,Andaman and Nicobar Islands,3631,165,3414,52
373,20-09-2020,Andaman and Nicobar Islands,3644,156,3436,52
374,21-09-2020,Andaman and Nicobar Islands,3651,147,3452,52
375,22-09-2020,Andaman and Nicobar Islands,3673,152,3469,52
376,12-03-2020,Andhra Pradesh,1,1,0,0
377,13-03-2020,Andhra Pradesh,1,1,0,0
378,14-03-2020,Andhra Pradesh,1,1,0,0
379,15-03-2020,Andhra Pradesh,1,1,0,0
380,16-03-2020,Andhra Pradesh,1,1,0,0
381,17-03-2020,Andhra Pradesh,1,1,0,0
382,18-03-2020,Andhra Pradesh,1,1,0,0
383,19-03-2020,Andhra Pradesh,1,1,0,0
384,20-03-2020,Andhra Pradesh,2,2,0,0
385,21-03-2020,Andhra Pradesh,3,3,0,0
386,22-03-2020,Andhra Pradesh,5,5,0,0
387,23-03-2020,Andhra Pradesh,7,7,0,0
388,24-03-2020,Andhra Pradesh,7,7,0,0
389,25-03-2020,Andhra Pradesh,8,8,0,0
390,26-03-2020,Andhra Pradesh,11,10,1,0
391,27-03-2020,Andhra Pradesh,12,11,1,0
392,28-03-2020,Andhra Pradesh,14,13,1,0
393,29-03-2020,Andhra Pradesh,14,13,1,0
394,30-03-2020,Andhra Pradesh,19,18,1,0
395,31-03-2020,Andhra Pradesh,40,39,1,0
396,01-04-2020,Andhra Pradesh,83,82,1,0
397,02-04-2020,Andhra Pradesh,86,84,1,1
398,03-04-2020,Andhra Pradesh,132,130,1,1
399,04-04-2020,Andhra Pradesh,161,159,1,1
400,05-04-2020,Andhra Pradesh,161,159,1,1
401,06-04-2020,Andhra Pradesh,226,222,1,3
402,07-04-2020,Andhra Pradesh,266,262,1,3
403,08-04-2020,Andhra Pradesh,305,300,1,4
404,09-04-2020,Andhra Pradesh,348,338,6,4
405,10-04-2020,Andhra Pradesh,348,338,6,4
406,11-04-2020,Andhra Pradesh,363,350,7,6
407,12-04-2020,Andhra Pradesh,381,364,11,6
408,13-04-2020,Andhra Pradesh,427,409,11,7
409,14-04-2020,Andhra Pradesh,432,414,11,7
410,15-04-2020,Andhra Pradesh,483,458,16,9
411,16-04-2020,Andhra Pradesh,525,491,20,14
412,17-04-2020,Andhra Pradesh,534,500,20,14
413,18-04-2020,Andhra Pradesh,572,522,36,14
414,19-04-2020,Andhra Pradesh,603,546,42,15
415,20-04-2020,Andhra Pradesh,646,589,42,15
416,21-04-2020,Andhra Pradesh,722,610,92,20
417,22-04-2020,Andhra Pradesh,757,639,96,22
418,23-04-2020,Andhra Pradesh,813,669,120,24
419,24-04-2020,Andhra Pradesh,895,727,141,27
420,25-04-2020,Andhra Pradesh,955,781,145,29
421,26-04-2020,Andhra Pradesh,1061,859,171,31
422,27-04-2020,Andhra Pradesh,1097,835,231,31
423,28-04-2020,Andhra Pradesh,1183,917,235,31
424,29-04-2020,Andhra Pradesh,1259,970,258,31
425,30-04-2020,Andhra Pradesh,1332,1014,287,31
426,01-05-2020,Andhra Pradesh,1403,1051,321,31
427,02-05-2020,Andhra Pradesh,1463,1027,403,33
428,03-05-2020,Andhra Pradesh,1525,1051,441,33
429,04-05-2020,Andhra Pradesh,1583,1062,488,33
430,05-05-2020,Andhra Pradesh,1650,1090,524,36
431,06-05-2020,Andhra Pradesh,1717,1092,589,36
432,07-05-2020,Andhra Pradesh,1777,1012,729,36
433,08-05-2020,Andhra Pradesh,1847,1029,780,38
434,09-05-2020,Andhra Pradesh,1887,1004,842,41
435,10-05-2020,Andhra Pradesh,1930,999,887,44
436,11-05-2020,Andhra Pradesh,1980,1010,925,45
437,12-05-2020,Andhra Pradesh,2018,998,975,45
438,13-05-2020,Andhra Pradesh,2090,988,1056,46
439,14-05-2020,Andhra Pradesh,2137,948,1142,47
440,15-05-2020,Andhra Pradesh,2205,965,1192,48
441,16-05-2020,Andhra Pradesh,2307,1007,1252,48
442,17-05-2020,Andhra Pradesh,2355,953,1353,49
443,18-05-2020,Andhra Pradesh,2407,901,1456,50
444,19-05-2020,Andhra Pradesh,2474,872,1552,50
445,20-05-2020,Andhra Pradesh,2532,859,1621,52
446,21-05-2020,Andhra Pradesh,2602,909,1640,53
447,22-05-2020,Andhra Pradesh,2647,885,1709,53
448,23-05-2020,Andhra Pradesh,2709,891,1763,55
449,24-05-2020,Andhra Pradesh,2757,892,1809,56
450,25-05-2020,Andhra Pradesh,2823,911,1856,56
451,26-05-2020,Andhra Pradesh,3110,1158,1896,56
452,27-05-2020,Andhra Pradesh,3171,1105,2009,57
453,28-05-2020,Andhra Pradesh,3171,1056,2057,58
454,29-05-2020,Andhra Pradesh,3251,1067,2125,59
455,30-05-2020,Andhra Pradesh,3436,1150,2226,60
456,31-05-2020,Andhra Pradesh,3569,1220,2289,60
457,01-06-2020,Andhra Pradesh,3679,1268,2349,62
458,02-06-2020,Andhra Pradesh,3783,1341,2378,64
459,03-06-2020,Andhra Pradesh,3898,1413,2421,64
460,04-06-2020,Andhra Pradesh,4080,1546,2466,68
461,05-06-2020,Andhra Pradesh,4223,1613,2539,71
462,06-06-2020,Andhra Pradesh,4303,1654,2576,73
463,07-06-2020,Andhra Pradesh,4510,1817,2620,73
464,08-06-2020,Andhra Pradesh,4708,1951,2682,75
465,09-06-2020,Andhra Pradesh,4851,2031,2745,75
466,10-06-2020,Andhra Pradesh,5070,2191,2802,77
467,11-06-2020,Andhra Pradesh,5269,2292,2899,78
468,12-06-2020,Andhra Pradesh,5429,2301,3048,80
469,13-06-2020,Andhra Pradesh,5680,2495,3105,80
470,14-06-2020,Andhra Pradesh,5965,2688,3195,82
471,15-06-2020,Andhra Pradesh,6163,2765,3314,84
472,16-06-2020,Andhra Pradesh,6456,3052,3316,88
473,17-06-2020,Andhra Pradesh,6841,3244,3509,88
474,18-06-2020,Andhra Pradesh,7071,3340,3641,90
475,19-06-2020,Andhra Pradesh,7518,3637,3789,92
476,20-06-2020,Andhra Pradesh,7961,3948,3917,96
477,21-06-2020,Andhra Pradesh,8452,4240,4111,101
478,22-06-2020,Andhra Pradesh,8999,4562,4331,106
479,23-06-2020,Andhra Pradesh,9372,4766,4495,111
480,24-06-2020,Andhra Pradesh,10002,5284,4599,119
481,25-06-2020,Andhra Pradesh,10331,5428,4779,124
482,26-06-2020,Andhra Pradesh,10884,5760,4988,136
483,27-06-2020,Andhra Pradesh,11489,6145,5196,148
484,28-06-2020,Andhra Pradesh,12285,6648,5480,157
485,29-06-2020,Andhra Pradesh,13241,7164,5908,169
486,30-06-2020,Andhra Pradesh,13891,7479,6232,180
487,01-07-2020,Andhra Pradesh,14595,7897,6511,187
488,02-07-2020,Andhra Pradesh,15252,8071,6988,193
489,03-07-2020,Andhra Pradesh,16097,8586,7313,198
490,04-07-2020,Andhra Pradesh,16934,9096,7632,206
491,05-07-2020,Andhra Pradesh,17699,9473,8008,218
492,06-07-2020,Andhra Pradesh,18697,10043,8422,232
493,07-07-2020,Andhra Pradesh,20019,10860,8920,239
494,08-07-2020,Andhra Pradesh,21197,11200,9745,252
495,09-07-2020,Andhra Pradesh,22259,10894,11101,264
496,10-07-2020,Andhra Pradesh,23814,11383,12154,277
497,11-07-2020,Andhra Pradesh,25422,11936,13194,292
498,12-07-2020,Andhra Pradesh,27235,12533,14393,309
499,13-07-2020,Andhra Pradesh,29168,13428,15412,328
500,14-07-2020,Andhra Pradesh,31103,14274,16464,365
501,15-07-2020,Andhra Pradesh,33019,15144,17467,408
502,16-07-2020,Andhra Pradesh,35451,16621,18378,452
503,17-07-2020,Andhra Pradesh,38044,18159,19393,492
504,18-07-2020,Andhra Pradesh,40646,19814,20298,534
505,19-07-2020,Andhra Pradesh,44609,22260,21763,586
